GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
daniel-ims,com.qa.ims.controller,ItemController,6,105,0,2,3,29,3,7,3,6
daniel-ims,com.qa.ims.controller,OrderlineController,72,125,6,2,21,33,5,6,2,5
daniel-ims,com.qa.ims.controller,Action,116,0,2,0,18,0,6,0,5,0
daniel-ims,com.qa.ims.controller,CustomerController,2,105,0,2,1,29,1,7,1,6
daniel-ims,com.qa.ims.controller,OrderController,110,106,8,2,33,28,11,6,7,5
daniel-ims,com.qa.ims,Ims,221,35,18,2,54,9,17,4,4,3
daniel-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
daniel-ims,com.qa.ims.persistence.dao,ItemDaoMysql,85,216,1,1,29,41,2,9,1,9
daniel-ims,com.qa.ims.persistence.dao,OrderlineDaoMysql,247,66,1,1,53,17,7,4,6,4
daniel-ims,com.qa.ims.persistence.dao,OrderDaoMysql,214,88,1,1,46,23,6,5,5,5
daniel-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,85,216,1,1,29,41,2,9,1,9
daniel-ims,com.qa.ims.services,ItemServices,0,28,0,0,0,8,0,5,0,5
daniel-ims,com.qa.ims.services,OrderlineServices,0,28,0,0,0,8,0,5,0,5
daniel-ims,com.qa.ims.services,OrderServices,0,28,0,0,0,8,0,5,0,5
daniel-ims,com.qa.ims.services,CustomerServices,16,12,0,0,4,4,3,2,3,2
daniel-ims,com.qa.ims.persistence.domain,Orderline,20,211,1,37,9,53,3,30,2,12
daniel-ims,com.qa.ims.persistence.domain,Order,27,240,0,38,12,66,3,34,3,15
daniel-ims,com.qa.ims.persistence.domain,Domain,33,83,2,0,9,11,3,3,2,3
daniel-ims,com.qa.ims.persistence.domain,Item,0,174,0,24,0,46,0,23,0,11
daniel-ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
daniel-ims,com.qa.ims.utils,Utils,25,0,0,0,6,0,3,0,3,0
